# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Sun Apr 26 16:08:01 2020
#
# User preference: *
#
# COLUMN pl_discmethod:  Discovery Method
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au])
# COLUMN st_teff:        Effective Temperature [K]
# COLUMN st_lum:         Stellar Luminosity [log(Solar)]
#
pl_discmethod,pl_orbsmax,st_teff,st_lum
Transit,0.058600,5700.00,
Transit,0.090000,6190.00,
Transit,0.049470,6100.00,
Transit,0.085500,6090.00,
Transit,,5275.00,
Radial Velocity,0.046000,5275.00,
Transit,0.063000,5080.00,
Transit,0.402100,5625.00,
Transit,0.071000,5970.00,-0.155
Eclipse Timing Variations,5.750000,,
Astrometry,0.360000,,
Imaging,330.000000,,
Radial Velocity,0.146200,6196.00,
Radial Velocity,0.073300,6196.00,
Radial Velocity,0.042200,6196.00,
Radial Velocity,0.065100,6196.00,
Radial Velocity,0.066400,6500.00,0.104
Radial Velocity,0.066200,5138.00,
Eclipse Timing Variations,8.190000,13500.00,
Transit,,5428.00,-0.140
Transit,,,
Transit,,,
Transit,,,
Transit,,,
Transit,,,
Transit,,,
Transit,,5502.70,
Transit,,,
Transit,,,
Transit,,,
Transit,,,
Transit,,,
Transit,0.131000,4148.21,
Transit,0.149300,6069.00,
Transit,,,
Transit,,,
Transit,,,
Transit,,,
Transit,0.098000,4684.00,
Transit,0.280000,4684.00,
Transit,,,
Transit,0.013400,5617.00,
Transit,0.109100,5617.00,
Transit,0.072290,6202.00,0.526
Transit,4.500000,4898.00,
Transit,0.047000,5430.00,
Transit,0.130000,5430.00,
Transit,0.220000,5430.00,
Imaging,800.000000,2838.00,-0.699
Imaging,160.000000,,
Transit,0.038500,3348.00,-1.971
Radial Velocity,0.021000,2953.00,-2.770
Radial Velocity,0.035000,2953.00,-2.770
Radial Velocity,0.054000,2953.00,-2.770
Transit,0.015300,3270.00,-2.359
Radial Velocity,0.047600,3270.00,-2.359
Radial Velocity,0.166000,3264.00,-1.699
Radial Velocity,0.912000,3264.00,-1.699
Transit,0.014110,3026.00,
Transit,0.009160,3458.00,-1.708
Radial Velocity,0.026000,3236.00,-2.439
Transit,0.191500,4640.00,-0.686
Radial Velocity,0.072000,3607.00,-1.655
Radial Velocity,5.400000,3607.00,-1.655
Radial Velocity,0.053000,4347.00,-0.796
Radial Velocity,0.060700,3500.00,-1.708
Radial Velocity,0.125400,3500.00,-1.708
Radial Velocity,1.030400,3500.00,-1.708
Radial Velocity,2.410000,3370.00,-1.796
Radial Velocity,0.092000,,
Radial Velocity,0.129000,,
Radial Velocity,0.309000,,
Radial Velocity,0.339000,,
Radial Velocity,0.898000,,
Radial Velocity,0.101000,3542.00,-1.585
Radial Velocity,0.091101,3382.00,-2.056
Radial Velocity,0.036467,3382.00,-2.056
Radial Velocity,0.490000,5540.00,-0.180
Radial Velocity,0.079000,,
Radial Velocity,0.019700,3717.00,-1.347
Radial Velocity,0.057000,3717.00,-1.347
Radial Velocity,0.698000,3717.00,-1.347
Radial Velocity,1.150000,3510.00,
Radial Velocity,,3510.00,
Radial Velocity,4.500000,3900.00,
Radial Velocity,0.143390,3466.00,-1.658
Radial Velocity,0.361750,3466.00,-1.658
Radial Velocity,0.193940,3466.00,-1.658
Radial Velocity,0.082080,3466.00,-1.658
Radial Velocity,0.032820,3159.00,-2.569
Radial Velocity,0.126400,3159.00,-2.569
Radial Velocity,0.089000,3526.00,-1.538
Radial Velocity,0.035500,3600.00,
Radial Velocity,0.338000,3081.00,-2.804
Transit,0.035000,3505.00,-1.798
Radial Velocity,0.061000,3505.00,-1.798
Radial Velocity,0.204000,3505.00,-1.798
Radial Velocity,0.028700,,-1.699
Radial Velocity,0.026000,3324.00,-2.062
Radial Velocity,0.060800,3867.00,-1.120
Radial Velocity,0.029000,3722.00,-1.387
Radial Velocity,0.089000,3722.00,-1.387
Radial Velocity,0.078500,3563.00,-1.658
Radial Velocity,0.111000,,
Radial Velocity,0.082000,3387.00,-1.706
Radial Velocity,0.062000,,
Radial Velocity,4.819000,,
Radial Velocity,0.178000,,
Radial Velocity,0.029100,,
Imaging,43.500000,6234.00,0.332
Radial Velocity,0.066610,3685.00,-1.377
Radial Velocity,0.040610,,-1.886
Radial Velocity,0.072100,,-1.886
Radial Velocity,0.028150,,-1.886
Radial Velocity,0.078361,3499.00,-1.894
Radial Velocity,1.135000,3700.00,
Radial Velocity,0.050500,3350.00,-1.863
Radial Velocity,0.125000,3350.00,-1.863
Radial Velocity,0.213000,3350.00,-1.863
Radial Velocity,0.156000,3350.00,-1.863
Radial Velocity,0.549000,3350.00,-1.863
Radial Velocity,0.039000,3600.00,-1.796
Radial Velocity,1.820000,3734.00,
Radial Velocity,6.600000,3734.00,
Radial Velocity,,3734.00,
Radial Velocity,,3734.00,
Radial Velocity,0.080000,3028.00,-2.699
Radial Velocity,0.176000,3028.00,-2.699
Radial Velocity,0.134400,3816.00,-1.253
Radial Velocity,0.170000,3340.00,
Radial Velocity,3.560000,3472.00,-1.585
Radial Velocity,0.163000,3472.00,-1.585
Radial Velocity,2.350000,3241.00,
Radial Velocity,0.110000,5182.00,
Radial Velocity,0.208317,,-1.907
Radial Velocity,0.129590,,-1.907
Radial Velocity,0.020807,,-1.907
Radial Velocity,0.334300,,-1.907
Radial Velocity,0.291000,3785.00,-1.052
Transit,0.018800,4340.00,
Transit,0.039250,4340.00,
Transit,0.055910,4340.00,
Imaging,100.000000,,
Imaging,320.000000,4200.00,-0.420
Imaging,2000.000000,,
Radial Velocity,0.039435,3879.00,-1.222
Radial Velocity,0.090500,3805.00,-1.306
Radial Velocity,0.091700,3663.00,-1.553
Transit,0.055610,5980.00,
Transit,0.052540,4780.00,
Radial Velocity,4.130000,4780.00,
Transit,0.038400,4650.00,-0.678
Transit,,5653.00,0.346
Radial Velocity,,5653.00,0.346
Transit,,6600.00,
Transit,,5568.00,
Transit,0.041300,6158.00,0.294
Transit,,5246.00,
Radial Velocity,5.600000,5246.00,
Transit,0.055900,4803.00,-0.569
Transit,0.046600,4990.00,-0.432
Transit,0.068140,6380.00,0.530
Transit,0.036100,4595.00,-0.721
Transit,,5588.00,
Transit,,5302.00,
Transit,,5905.00,
Transit,,6373.00,
Transit,0.046600,5519.00,-0.152
Transit,,5079.00,
Transit,0.040000,5300.00,-0.244
Transit,0.043400,5680.00,0.053
Transit,,6087.00,
Transit,,5185.00,
Transit,,6304.00,
Transit,,6065.00,
Transit,0.033970,6001.00,0.338
Transit,,6446.00,
Transit,0.067740,6442.00,
Transit,0.049780,6096.00,
Transit,0.024100,5620.00,
Transit,0.037900,5500.00,-0.208
Transit,0.052300,5330.00,-0.208
Transit,0.050900,6430.00,0.607
Transit,0.044380,5860.00,0.431
Transit,,6080.00,
Transit,,6390.00,
Transit,0.057500,5743.00,0.356
Transit,0.044300,5645.00,0.045
Transit,0.050700,5295.00,-0.194
Radial Velocity,1.752000,5295.00,-0.194
Transit,0.045200,6330.00,0.400
Transit,0.057700,6120.00,0.391
Transit,,6820.00,
Transit,,5960.00,
Transit,0.045300,6280.00,0.603
Transit,0.050690,5449.00,-0.066
Transit,0.036940,5131.00,-0.305
Transit,0.031590,5956.00,0.217
Transit,0.041170,4390.00,-0.902
Transit,0.046040,5808.00,
Transit,,6566.00,
Transit,,6330.00,
Transit,,6570.00,
Transit,0.039510,5835.00,0.555
Transit,0.043630,6002.00,0.615
Transit,0.065050,6406.00,0.939
Transit,0.065550,7394.00,1.000
Transit,,6389.00,
Transit,0.047390,8450.00,1.223
Transit,,6200.00,
Transit,0.052870,6350.00,0.418
Transit,0.044400,5870.00,0.041
Transit,0.044910,5880.00,0.117
Transit,0.050700,6563.00,
Transit,0.044100,6357.00,
Transit,0.040570,5523.00,
Transit,0.038150,5346.00,
Transit,0.027120,5311.00,-0.204
Transit,0.037440,5738.00,0.173
Transit,0.130800,5846.00,0.093
Transit,0.017400,5600.00,
Transit,0.023000,5227.00,-0.268
Transit,0.050250,4803.00,-0.646
Transit,0.033970,5780.00,0.155
Transit,0.023800,6125.00,0.190
Transit,0.051630,5715.00,0.068
Transit,0.047350,6071.00,0.704
Transit,0.061100,6438.00,0.669
Transit,0.041310,5498.00,-0.157
Transit,0.054750,5670.00,0.029
Transit,0.048500,6351.00,0.456
Transit,0.043540,5943.00,0.097
Transit,0.047800,6050.00,0.619
Transit,0.040240,5700.00,0.057
Transit,0.037270,5659.00,-0.018
Transit,0.031660,5380.00,-0.140
Transit,0.031990,6300.00,0.465
Transit,0.052300,5950.00,
Transit,0.060070,6572.00,0.640
Transit,0.036200,5403.00,-0.187
Transit,0.049970,6460.00,0.903
Transit,0.058300,6424.00,0.653
Transit,0.036890,6060.00,0.425
Transit,0.049440,5099.00,-0.398
Transit,0.036490,5080.00,-0.398
Transit,0.055110,6450.00,0.425
Transit,0.053670,5495.00,-0.230
Transit,0.042690,4512.00,-0.796
Transit,0.037690,4546.00,-0.709
Transit,0.045150,4405.00,-0.785
Transit,0.054200,5304.00,-0.268
Transit,0.050460,5990.00,0.143
Transit,0.046390,5758.00,0.310
Transit,0.024980,6010.00,0.068
Transit,0.047530,5644.00,0.045
Transit,0.037630,5702.00,0.212
Transit,0.054120,6214.00,0.229
Transit,0.060430,6536.00,0.898
Transit,0.034930,5587.00,-0.094
Transit,0.057980,7175.00,0.689
Transit,0.061120,5670.00,-0.004
Radial Velocity,2.504000,5670.00,-0.004
Transit,0.036230,3724.00,
Transit,0.047080,5688.00,0.300
Transit,0.079080,5542.00,0.369
Transit,0.041630,5416.00,-0.173
Transit,0.040260,5627.00,0.012
Transit,0.065620,6554.00,0.867
Transit,0.044970,6277.00,0.377
Transit,0.047140,6626.00,0.767
Transit,0.030320,6594.00,0.547
Transit,0.050710,6147.00,0.592
Transit,0.032110,5137.00,-0.318
Transit,0.040120,4985.00,-0.434
Transit,0.036320,7930.00,1.079
Transit,0.066517,4656.10,-0.659
Transit,0.046670,5679.00,
Transit,0.031200,5599.00,
Imaging,53.000000,10500.00,1.500
Radial Velocity,0.680000,4891.00,
Radial Velocity,1.030000,5533.00,
Radial Velocity,0.064120,5911.00,
Radial Velocity,0.128590,5911.00,
Radial Velocity,0.269900,5911.00,
Radial Velocity,0.492900,5911.00,
Radial Velocity,1.427000,5911.00,
Radial Velocity,3.381000,5911.00,
Radial Velocity,0.300000,5108.00,
Radial Velocity,0.150000,5655.00,
Radial Velocity,0.050000,5301.00,
Radial Velocity,0.510000,4790.00,
Radial Velocity,1.810000,4745.00,
Radial Velocity,,4745.00,
Radial Velocity,0.460000,5630.00,
Radial Velocity,4.074000,5436.00,
Radial Velocity,0.080700,4985.00,
Radial Velocity,0.250000,5250.00,
Radial Velocity,0.049800,5017.00,
Radial Velocity,0.070000,6489.00,0.544
Radial Velocity,0.439000,4792.00,
Radial Velocity,0.260000,4937.00,
Radial Velocity,2.010000,4912.00,
Radial Velocity,0.950000,4877.00,1.778
Radial Velocity,2.610000,5874.00,
Radial Velocity,3.340000,5509.00,
Transit,0.090700,6327.00,
Transit,0.153600,6327.00,
Radial Velocity,2.015000,6218.00,0.149
Radial Velocity,4.590000,5362.00,0.090
Imaging,650.000000,6516.00,0.750
Radial Velocity,2.140000,5600.00,
Radial Velocity,0.269000,5797.00,
Radial Velocity,0.102000,6265.00,0.286
Radial Velocity,2.000000,5122.00,
Radial Velocity,1.320000,4878.00,
Radial Velocity,1.040000,5600.00,
Radial Velocity,2.659000,5600.00,
Radial Velocity,0.330000,5844.00,
Radial Velocity,0.079000,5783.00,0.301
Radial Velocity,0.196000,5783.00,0.301
Radial Velocity,0.061500,5824.00,0.190
Radial Velocity,2.140000,4445.00,
Radial Velocity,1.970000,5512.00,
Radial Velocity,2.500000,4884.00,1.581
Radial Velocity,1.820000,6557.00,
Radial Velocity,0.920000,6576.60,
Radial Velocity,1.240000,4462.00,
Radial Velocity,2.440000,4462.00,
Radial Velocity,1.600000,4181.00,2.464
Radial Velocity,1.730000,4836.00,
Radial Velocity,5.340000,5641.00,
Radial Velocity,2.067000,5844.00,
Radial Velocity,0.360000,5869.00,
Radial Velocity,1.160000,5135.00,
Radial Velocity,,5135.00,
Radial Velocity,2.900000,6030.00,0.330
Radial Velocity,0.774000,6030.00,0.330
Radial Velocity,1.650000,4819.00,
Radial Velocity,,4819.00,
Radial Velocity,3.787000,5732.00,
Radial Velocity,1.090000,4312.00,
Radial Velocity,0.180000,5990.00,
Radial Velocity,0.070000,5864.00,
Transit,0.130000,5725.00,
Radial Velocity,3.160000,5349.00,
Radial Velocity,0.229000,5349.00,
Radial Velocity,1.930000,4970.00,
Radial Velocity,4.300000,4892.00,1.640
Radial Velocity,0.330000,6027.00,
Radial Velocity,0.297000,5920.00,
Radial Velocity,3.160000,4850.00,
Radial Velocity,0.080000,4691.00,
Radial Velocity,1.372000,5841.00,0.060
Radial Velocity,0.052400,5841.00,0.060
Radial Velocity,4.060000,5841.00,0.060
Radial Velocity,0.540000,4835.00,
Radial Velocity,1.837000,5638.00,
Radial Velocity,0.840000,5645.00,
Radial Velocity,2.814500,5645.00,
Radial Velocity,2.370000,5568.00,
Radial Velocity,1.084000,,
Radial Velocity,1.740000,,
Radial Velocity,0.870000,4875.00,-0.444
Radial Velocity,2.900000,,
Radial Velocity,0.092500,5387.00,
Radial Velocity,2.010000,4846.00,
Radial Velocity,3.170000,5892.00,
Radial Velocity,4.100000,5671.00,
Radial Velocity,1.250000,4175.00,
Radial Velocity,1.980000,5783.00,
Radial Velocity,2.620000,6073.00,
Radial Velocity,1.440000,5799.00,
Radial Velocity,4.490000,5799.00,
Radial Velocity,6.150000,5805.00,
Radial Velocity,0.044400,5966.00,0.158
Radial Velocity,2.392800,5966.00,0.158
Radial Velocity,0.810000,5736.00,
Radial Velocity,5.800000,5736.00,
Radial Velocity,0.093400,5664.00,-0.004
Radial Velocity,0.166600,5664.00,-0.004
Radial Velocity,0.412800,5664.00,-0.004
Radial Velocity,1.290000,4989.00,
Radial Velocity,12.400000,5868.00,
Radial Velocity,0.890000,5181.00,
Radial Velocity,0.154000,6255.00,0.602
Radial Velocity,2.030000,6255.00,0.602
Radial Velocity,5.150000,5867.00,
Radial Velocity,2.360000,4700.00,
Transit,0.109700,5521.00,0.660
Radial Velocity,3.400000,4815.00,1.898
Radial Velocity,0.415000,5600.00,
Radial Velocity,0.689000,5600.00,
Radial Velocity,2.090000,5600.00,
Radial Velocity,5.000000,5600.00,
Radial Velocity,1.500000,5870.00,
Radial Velocity,1.020000,6245.00,
Radial Velocity,6.800000,6245.00,
Radial Velocity,2.930000,5421.00,
Radial Velocity,2.780000,4922.00,
Radial Velocity,1.060000,5940.00,
Radial Velocity,0.037900,6380.00,
Radial Velocity,1.988000,5507.00,
Radial Velocity,0.450000,6014.00,
Radial Velocity,0.760000,4769.00,
Radial Velocity,4.600000,,
Radial Velocity,0.063400,5765.00,
Radial Velocity,0.111700,5765.00,
Radial Velocity,0.238800,5441.00,
Radial Velocity,1.922000,5441.00,
Radial Velocity,0.323000,4156.00,-0.971
Radial Velocity,1.320000,5883.00,-0.010
Radial Velocity,1.700000,4946.00,
Radial Velocity,0.522000,5972.00,0.777
Radial Velocity,1.360000,5972.00,0.777
Radial Velocity,2.450000,6308.00,0.250
Radial Velocity,0.993000,6032.00,0.330
Radial Velocity,6.150000,6032.00,0.330
Radial Velocity,0.974000,5572.00,0.280
Radial Velocity,1.040000,5025.00,
Radial Velocity,,6179.00,
Radial Velocity,0.053000,5856.00,0.350
Radial Velocity,1.262000,4947.00,
Radial Velocity,6.700000,5961.00,
Radial Velocity,4.187000,5907.00,
Radial Velocity,1.660000,5027.00,
Transit,0.052200,5125.00,
Transit,0.126800,5125.00,
Radial Velocity,1.280000,6124.00,
Radial Velocity,4.210000,5468.00,
Radial Velocity,0.600000,5743.00,
Radial Velocity,1.290000,5589.00,
Radial Velocity,5.360000,5589.00,
Radial Velocity,2.000000,4960.00,1.129
Radial Velocity,0.630000,5905.00,
Radial Velocity,1.020000,5905.00,
Radial Velocity,0.490000,5453.00,
Radial Velocity,,5453.00,
Radial Velocity,1.880000,5900.00,0.731
Radial Velocity,0.050000,4850.00,0.230
Radial Velocity,1.120000,6090.00,
Radial Velocity,1.500000,4860.00,
Radial Velocity,,,
Radial Velocity,,,
Radial Velocity,,,
Radial Velocity,,,
Radial Velocity,,,
Radial Velocity,2.100000,4069.00,3.015
Radial Velocity,0.110000,6123.00,0.114
Radial Velocity,0.800000,6123.00,0.114
Radial Velocity,2.320000,5534.00,
Radial Velocity,1.032000,5534.00,
Radial Velocity,1.492000,4915.00,0.810
Radial Velocity,3.584000,4915.00,0.810
Radial Velocity,1.497000,,
Radial Velocity,5.235000,,
Radial Velocity,0.090940,,
Radial Velocity,0.921000,,
Radial Velocity,0.360000,5757.00,
Radial Velocity,2.120000,5981.00,
Radial Velocity,0.080000,4723.00,
Radial Velocity,0.362000,5522.00,
Radial Velocity,2.390000,5522.00,
Radial Velocity,0.140000,,
Radial Velocity,0.870000,5859.00,0.120
Radial Velocity,0.230000,5790.00,
Radial Velocity,1.331000,4684.00,
Radial Velocity,2.100000,5372.00,
Radial Velocity,0.335100,5372.00,
Radial Velocity,1.130000,5426.00,-0.155
Radial Velocity,0.940000,6317.00,0.730
Radial Velocity,5.420000,5127.00,-0.509
Radial Velocity,1.320000,4943.00,1.000
Radial Velocity,0.293100,5491.00,
Radial Velocity,2.837300,5491.00,
Radial Velocity,0.070000,5570.00,
Radial Velocity,1.360000,4374.00,
Radial Velocity,0.810000,6299.00,0.662
Radial Velocity,3.600000,6299.00,0.662
Radial Velocity,2.240000,5842.00,
Radial Velocity,1.310000,4326.00,
Radial Velocity,1.320000,5671.00,
Radial Velocity,2.570000,5440.00,-0.090
Radial Velocity,,6040.00,
Radial Velocity,1.160000,4683.00,1.892
Radial Velocity,2.400000,5635.00,
Radial Velocity,0.975000,5013.00,
Radial Velocity,,5392.00,
Radial Velocity,1.420000,5904.00,
Radial Velocity,0.062960,4931.00,-0.480
Radial Velocity,0.118780,4931.00,-0.480
Radial Velocity,0.246000,,
Radial Velocity,1.140000,4901.00,
Radial Velocity,0.513700,4901.00,
Radial Velocity,0.340000,5588.00,
Radial Velocity,0.121400,5646.00,0.380
Radial Velocity,0.044300,6168.00,
Radial Velocity,0.843000,5131.00,
Radial Velocity,3.870000,5603.00,
Radial Velocity,1.460000,4924.00,
Radial Velocity,0.335700,3557.00,-1.487
Radial Velocity,1.400000,4961.00,
Radial Velocity,7.520000,5386.00,
Radial Velocity,1.592000,4945.00,
Radial Velocity,0.080000,4918.00,
Radial Velocity,1.760000,4918.00,
Radial Velocity,3.000000,4918.00,
Radial Velocity,1.850000,5736.00,
Radial Velocity,1.490000,5948.00,
Radial Velocity,4.350000,5948.00,
Radial Velocity,0.077000,5923.00,
Radial Velocity,2.100000,6117.00,
Radial Velocity,0.042600,5830.00,0.130
Radial Velocity,4.890000,5830.00,0.130
Radial Velocity,1.820000,4940.00,
Radial Velocity,1.203000,5746.00,
Radial Velocity,,5052.00,
Radial Velocity,3.970000,5552.00,
Radial Velocity,0.130400,5552.00,
Radial Velocity,2.231000,5656.00,
Radial Velocity,5.500000,5988.00,0.430
Radial Velocity,2.800000,6010.00,0.348
Radial Velocity,0.150000,4976.00,
Radial Velocity,0.320000,5166.00,-0.415
Radial Velocity,1.180000,5166.00,-0.415
Radial Velocity,1.063000,5041.00,
Radial Velocity,0.140000,5751.00,
Radial Velocity,2.510000,5879.00,
Radial Velocity,5.020000,6017.00,0.572
Radial Velocity,2.370000,6254.00,0.380
Radial Velocity,2.070000,6150.00,
Radial Velocity,1.305000,6188.00,
Radial Velocity,0.097400,5494.00,-0.143
Radial Velocity,0.196400,5494.00,-0.143
Radial Velocity,1.565000,4982.00,
Radial Velocity,1.960000,4982.00,
Radial Velocity,2.410000,5760.00,
Radial Velocity,1.566000,5040.00,1.369
Radial Velocity,2.342000,5040.00,1.369
Transit,0.052080,6272.00,0.971
Imaging,487.100000,,
Radial Velocity,2.730000,5780.00,0.250
Radial Velocity,2.200000,5945.00,
Radial Velocity,3.070000,5783.00,
Radial Velocity,0.209900,5783.00,
Radial Velocity,2.550000,5026.00,
Radial Velocity,0.896000,6176.00,0.360
Radial Velocity,0.461000,5635.00,
Radial Velocity,1.740000,4842.00,
Radial Velocity,0.052900,5256.00,-0.310
Radial Velocity,0.100400,5256.00,-0.310
Radial Velocity,0.164700,5256.00,-0.310
Radial Velocity,0.337400,5256.00,-0.310
Radial Velocity,1.364900,5790.00,
Radial Velocity,0.586000,5726.00,-0.110
Radial Velocity,2.112000,5726.00,-0.110
Radial Velocity,0.120700,5401.00,
Radial Velocity,0.203600,5401.00,
Radial Velocity,0.349900,5401.00,
Radial Velocity,0.509000,5401.00,
Radial Velocity,0.524000,6067.00,
Radial Velocity,2.100000,4035.00,
Radial Velocity,0.950000,4802.00,
Radial Velocity,1.050000,4860.00,1.090
Radial Velocity,,6091.00,
Radial Velocity,1.487000,5790.00,
Radial Velocity,1.130000,5538.00,
Radial Velocity,1.148000,4951.00,
Radial Velocity,2.656000,5652.00,0.070
Radial Velocity,0.143000,4127.00,
Radial Velocity,0.030000,6239.00,
Radial Velocity,1.190000,5003.00,
Radial Velocity,1.890000,5979.00,
Transit,0.020120,5978.00,0.139
Radial Velocity,0.056798,5978.00,0.139
Radial Velocity,0.362000,5605.00,
Radial Velocity,3.230000,5933.00,0.670
Radial Velocity,0.057638,4935.00,
Radial Velocity,0.067393,4935.00,
Radial Velocity,0.087990,4935.00,
Radial Velocity,0.154170,4935.00,
Radial Velocity,0.050000,5110.00,
Radial Velocity,1.282000,5110.00,
Radial Velocity,2.560000,5999.00,
Radial Velocity,2.497000,5909.00,
Radial Velocity,0.610000,4639.00,
Radial Velocity,0.460000,5399.00,
Radial Velocity,0.145500,5430.00,-0.208
Radial Velocity,0.258600,5430.00,-0.208
Radial Velocity,0.080000,5622.00,
Radial Velocity,5.320000,5622.00,
Transit,0.069500,4640.00,-0.686
Radial Velocity,2.380000,5966.00,0.276
Radial Velocity,4.560000,5544.00,0.100
Radial Velocity,0.690000,4730.00,
Radial Velocity,6.220000,5362.00,0.425
Radial Velocity,0.038760,4699.00,-0.577
Radial Velocity,0.065300,4699.00,-0.577
Radial Velocity,0.237000,4699.00,-0.577
Radial Velocity,0.146300,4699.00,-0.577
Radial Velocity,0.375300,4699.00,-0.577
Radial Velocity,3.110000,4699.00,-0.577
Radial Velocity,3.200000,4820.00,0.620
Transit,0.063560,5527.00,
Radial Velocity,0.050700,5807.00,0.420
Radial Velocity,5.790000,5807.00,0.420
Radial Velocity,1.600000,3787.00,
Radial Velocity,2.729000,5683.00,
Radial Velocity,3.396000,5921.00,
Radial Velocity,4.940000,5940.00,
Radial Velocity,0.740000,5960.00,
Radial Velocity,1.250000,6304.00,0.220
Transit,0.122800,5080.00,0.712
Radial Velocity,18.500000,5830.00,
Radial Velocity,2.306000,5620.00,0.422
Radial Velocity,1.830000,4806.00,0.929
Radial Velocity,5.140000,5701.00,
Radial Velocity,1.340000,5790.00,
Radial Velocity,2.280000,6097.00,0.470
Radial Velocity,0.191000,5894.00,0.610
Radial Velocity,1.167000,5027.00,
Radial Velocity,1.600000,5974.00,
Radial Velocity,2.370000,5843.00,
Radial Velocity,0.567000,6101.00,0.470
Radial Velocity,0.747000,4791.00,1.750
Radial Velocity,2.827000,4981.00,
Transit,0.121000,,-0.636
Transit,0.170000,,-0.636
Radial Velocity,2.770000,6040.00,
Radial Velocity,5.700000,4769.00,1.850
Radial Velocity,1.160000,4297.00,1.550
Radial Velocity,1.920000,3926.00,
Radial Velocity,4.920000,5802.00,
Radial Velocity,1.290000,4052.00,
Radial Velocity,0.034000,6034.00,
Radial Velocity,6.190000,5160.00,
Radial Velocity,2.971000,6125.00,
Radial Velocity,0.040000,5186.00,
Transit,0.056800,6801.00,0.668
Radial Velocity,,5072.00,
Radial Velocity,1.271000,4846.00,
Radial Velocity,3.242000,5737.00,
Radial Velocity,0.125000,,
Radial Velocity,0.198000,,
