# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Sun Apr 26 17:25:21 2020
#
# User preference: *
#
# COLUMN pl_discmethod:  Discovery Method
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_rade:        Planet Radius [Earth radii]
#
pl_discmethod,pl_orbper,pl_rade
Radial Velocity,11.44070000,
Radial Velocity,7600.00000000,
Radial Velocity,5.23540000,
Radial Velocity,8.63182000,
Radial Velocity,25.63058000,
Radial Velocity,603.95116000,
Radial Velocity,2288.00000000,
Radial Velocity,17.13300000,
Radial Velocity,24.32900000,
Radial Velocity,106.30000000,
Radial Velocity,121.99500000,
Radial Velocity,526.11500000,
Radial Velocity,15.81900000,
Radial Velocity,18.64980000,
Radial Velocity,4.72340000,
Radial Velocity,133.71000000,
Radial Velocity,11.94900000,
Radial Velocity,1.22003000,
Radial Velocity,5.97400000,
Radial Velocity,257.80000000,
Radial Velocity,692.00000000,
Radial Velocity,5312.00000000,
Radial Velocity,4100.00000000,
Radial Velocity,30.59870000,
Radial Velocity,122.61960000,
Radial Velocity,48.13450000,
Radial Velocity,13.25430000,
Radial Velocity,5.36360000,
Radial Velocity,40.54000000,
Radial Velocity,14.20700000,
Radial Velocity,3.33664960,4.570
Radial Velocity,203.59000000,
Transit,3.93072000,1.217
Radial Velocity,9.12470000,
Radial Velocity,55.66100000,
Radial Velocity,2.64561000,
Radial Velocity,3.02320000,
Radial Velocity,6.90500000,
Radial Velocity,2.64977000,
Radial Velocity,13.74000000,
Radial Velocity,12.95320000,
Radial Velocity,20.12900000,
Radial Velocity,13.35200000,
Radial Velocity,7.37050000,
Radial Velocity,5094.10500000,
Radial Velocity,36.05900000,
Radial Velocity,2.64388312,4.170
Imaging,,
Radial Velocity,8.70760000,
Radial Velocity,5.36860000,
Radial Velocity,12.91400000,
Radial Velocity,3.14900000,
Radial Velocity,14.62800000,
Radial Velocity,598.30000000,
Radial Velocity,7.20040000,
Radial Velocity,28.14000000,
Radial Velocity,62.24000000,
Radial Velocity,39.02600000,
Radial Velocity,256.20000000,
Radial Velocity,4.69380000,
Radial Velocity,1056.80005000,
Radial Velocity,7337.00000000,
Radial Velocity,3.60050000,
Radial Velocity,35.39000000,
Radial Velocity,17.47800000,
Radial Velocity,57.32000000,
Radial Velocity,24.16000000,
Radial Velocity,38.14000000,
Radial Velocity,3657.00000000,
Radial Velocity,35.68000000,
Radial Velocity,1882.00000000,
Radial Velocity,15.76491000,
Radial Velocity,61.11660000,
Radial Velocity,30.08810000,
Radial Velocity,1.93778000,
Radial Velocity,124.26000000,
Radial Velocity,73.94000000,
Transit,1.20898190,1.577
Transit,3.64809570,1.241
Transit,6.20146980,2.022
Imaging,,33.600
Imaging,,
Imaging,,14.179
Radial Velocity,3.82200000,
Radial Velocity,13.85080000,
Radial Velocity,15.53140000,
Transit,4.46529976,14.785
Transit,4.88780244,4.360
Radial Velocity,3407.00000000,
Transit,3.21305980,10.749
Transit,2.91625000,14.258
Radial Velocity,446.27000000,
Transit,4.62767000,15.917
Transit,10.86350000,11.882
Transit,2.77596000,14.448
Transit,10.33852000,11.769
Radial Velocity,5584.00000000,
Transit,5.50802300,11.153
Transit,4.00877800,12.689
Transit,5.63351580,
Transit,2.87531700,9.718
Transit,4.12448000,12.442
Transit,3.21222000,12.890
Transit,1.21288000,12.218
Transit,3.35524000,14.572
Transit,3.65281514,12.722
Transit,4.23452000,7.062
Transit,3.03957700,11.430
Transit,3.25721500,13.585
Transit,5.72319000,13.115
Transit,2.89970000,10.536
Transit,2.81060000,16.141
Transit,5.00542000,12.218
Transit,2.15000820,22.194
Transit,3.47447000,20.737
Transit,5.45265400,13.417
Transit,3.64670600,14.930
Transit,1.32734683,14.314
Transit,2.79743600,13.204
Transit,4.64038200,9.247
Transit,3.54387000,17.609
Transit,3.05653600,14.280
Transit,4.45724000,17.038
Transit,2.69405000,22.978
Transit,4.64187800,14.348
Transit,3.33268700,14.359
Transit,4.30121900,13.922
Radial Velocity,872.20000000,
Transit,3.12899200,15.984
Transit,4.46312900,14.392
Transit,2.69155000,17.822
Transit,2.78849000,13.563
Transit,3.12201090,14.437
Transit,4.21802780,14.493
Transit,2.75359530,11.310
Transit,1.96162410,14.773
Transit,3.79984700,10.581
Transit,3.58524670,13.249
Transit,2.79083000,16.926
Transit,2.46530000,19.504
Transit,3.85298000,16.589
Transit,2.60545520,21.185
Transit,2.97208600,17.822
Transit,4.81010250,23.371
Transit,4.78694910,18.786
Transit,2.20474000,16.926
Transit,2.74432452,20.961
Transit,3.07634000,15.693
Transit,3.92281072,15.614
Transit,3.44645900,14.594
Transit,3.31284600,10.862
Transit,3.61918800,18.030
Transit,3.14270200,7.760
Transit,3.04404990,13.585
Transit,2.76676410,11.646
Transit,1.74748753,12.386
Transit,2.68650200,14.572
Transit,16.25461100,8.709
Transit,0.83784000,14.897
Transit,1.35413300,13.092
Transit,4.72281240,10.682
Transit,2.16051560,20.849
Transit,1.34849780,15.637
Transit,4.29864320,14.123
Transit,3.30238810,19.616
Transit,4.63703800,16.814
Transit,3.18107810,13.384
Transit,4.60587490,14.022
Transit,3.54785100,15.480
Transit,3.17435160,13.171
Transit,3.37796000,18.383
Transit,2.81265480,14.000
Transit,2.54955510,13.787
Transit,2.10616070,16.029
Transit,1.82099930,16.410
Transit,4.17518600,12.920
Transit,4.57763480,17.598
Transit,2.51672900,11.433
Transit,3.26427360,17.710
Transit,4.19364900,14.908
Transit,2.29210200,15.693
Transit,4.38884970,13.227
Transit,2.74390040,11.960
Transit,4.18762440,14.415
Transit,4.74237290,10.122
Transit,3.92280380,12.520
Transit,3.13166660,8.967
Transit,4.14804670,8.575
Transit,4.76338700,10.223
Transit,3.82970150,12.666
Transit,3.34887020,15.805
Transit,1.36665436,15.491
Transit,3.85377680,15.020
Transit,2.54418280,11.960
Transit,4.20420010,14.022
Transit,4.32479900,18.921
Transit,2.35062100,12.767
Transit,4.21808960,12.274
Transit,5.41608100,12.621
Radial Velocity,1422.00000000,
Transit,3.32527250,11.187
Transit,3.56082900,12.924
Transit,7.81795300,13.395
Transit,3.27688370,11.825
Transit,3.05665270,13.529
Transit,4.90889700,18.820
Transit,3.10516100,16.825
Transit,3.14143910,15.816
Transit,1.60917880,18.887
Transit,3.58622020,13.809
Transit,2.22525770,10.593
Transit,3.18531500,6.311
Transit,1.88823780,15.513
Transit,7.32794740,8.097
Transit,3.58389300,9.785
Transit,1.91529100,13.850
Imaging,,77.342
Radial Velocity,157.57001000,
Radial Velocity,383.70001000,
Radial Velocity,5.75969000,
Radial Velocity,16.35700000,
Radial Velocity,49.74800000,
Radial Velocity,122.74400000,
Radial Velocity,604.67000000,
Radial Velocity,2205.00000000,
Radial Velocity,70.46000000,
Radial Velocity,20.81330000,
Radial Velocity,4.11377000,
Radial Velocity,127.58000000,
Radial Velocity,778.09998000,
Radial Velocity,1123.00000000,
Radial Velocity,122.10000000,
Radial Velocity,3090.94200000,
Radial Velocity,6.49470000,
Radial Velocity,47.84000000,
Radial Velocity,4.55570000,
Radial Velocity,5.88810000,
Radial Velocity,120.87800000,
Radial Velocity,55.80600000,
Radial Velocity,1032.30000000,
Radial Velocity,199.50500000,
Radial Velocity,1531.00000000,
Radial Velocity,1888.00000000,
Transit,9.55237000,2.440
Transit,21.05704000,4.350
Radial Velocity,989.20000000,
Radial Velocity,3630.00000000,
Imaging,,
Radial Velocity,1075.69000000,
Radial Velocity,48.05600000,
Radial Velocity,10.89850000,
Radial Velocity,1129.00000000,
Radial Velocity,437.70000000,
Radial Velocity,394.48123000,
Radial Velocity,1624.00000000,
Radial Velocity,68.27000000,
Radial Velocity,7.85430000,
Radial Velocity,30.93000000,
Radial Velocity,5.23989100,
Radial Velocity,835.47700000,
Radial Velocity,1143.00000000,
Radial Velocity,1056.40000000,
Radial Velocity,825.90000000,
Radial Velocity,324.00000000,
Radial Velocity,663.20000000,
Radial Velocity,1818.00000000,
Radial Velocity,610.20000000,
Radial Velocity,937.70001000,
Radial Velocity,4000.00000000,
Radial Velocity,1121.79000000,
Radial Velocity,83.91510000,
Radial Velocity,493.70000000,
Radial Velocity,4319.00000000,
Radial Velocity,1622.10000000,
Radial Velocity,223.41000000,
Radial Velocity,670.00000000,
Radial Velocity,907.00000000,
Radial Velocity,2621.75000000,
Radial Velocity,433.70001000,
Radial Velocity,25.80000000,
Radial Velocity,6.13350000,
Transit,16.98410000,2.630
Radial Velocity,1945.00000000,
Radial Velocity,37.91000000,
Radial Velocity,711.00000000,
Radial Velocity,2082.00000000,
Radial Velocity,63.33000000,
Radial Velocity,58.83000000,
Radial Velocity,1756.20000000,
Radial Velocity,9.67370000,
Radial Velocity,557.04000000,
Radial Velocity,4.15514000,
Radial Velocity,2835.00000000,
Radial Velocity,133.60001000,
Radial Velocity,960.41000000,
Radial Velocity,262.70862000,
Radial Velocity,1708.00000000,
Radial Velocity,1244.00000000,
Radial Velocity,453.01900000,
Radial Velocity,921.53800000,
Radial Velocity,298.20000000,
Radial Velocity,1840.00000000,
Radial Velocity,10.70871000,
Radial Velocity,896.00000000,
Radial Velocity,1951.00000000,
Radial Velocity,2613.00000000,
Radial Velocity,471.60001000,
Radial Velocity,974.00000000,
Radial Velocity,1544.00000000,
Radial Velocity,649.00000000,
Radial Velocity,3568.00000000,
Radial Velocity,5769.00000000,
Radial Velocity,3.26960000,
Radial Velocity,1291.56460000,
Radial Velocity,258.17999000,
Radial Velocity,5000.00000000,
Radial Velocity,11.58240000,
Radial Velocity,27.58210000,
Radial Velocity,107.59830000,
Radial Velocity,464.29999000,
Radial Velocity,14763.40500000,
Radial Velocity,330.00000000,
Radial Velocity,19.38200000,
Radial Velocity,931.00000000,
Radial Velocity,4218.00000000,
Radial Velocity,1125.70000000,
Transit,11.53533000,11.500
Radial Velocity,1455.00000000,
Radial Velocity,94.44000000,
Radial Velocity,201.99000000,
Radial Velocity,1069.80000000,
Radial Velocity,5000.00000000,
Radial Velocity,653.21997000,
Radial Velocity,349.70000000,
Radial Velocity,6005.00000000,
Radial Velocity,1928.00000000,
Radial Velocity,1299.00000000,
Radial Velocity,386.29999000,
Radial Velocity,2.19740000,
Radial Velocity,1039.15000000,
Radial Velocity,103.95000000,
Radial Velocity,176.30000000,
Radial Velocity,2730.00000000,
Radial Velocity,5.77152000,
Radial Velocity,13.50520000,
Radial Velocity,44.23600000,
Radial Velocity,1008.00000000,
Radial Velocity,86.78000000,
Radial Velocity,528.40000000,
Radial Velocity,676.60000000,
Radial Velocity,116.59600000,
Radial Velocity,491.54000000,
Radial Velocity,1027.00000000,
Radial Velocity,328.55000000,
Radial Velocity,5062.00000000,
Radial Velocity,339.33100000,
Radial Velocity,331.50000000,
Radial Velocity,2.87589000,8.295
Radial Velocity,4.07182000,
Radial Velocity,428.50000000,
Radial Velocity,5894.00000000,
Radial Velocity,2918.92000000,
Radial Velocity,686.50000000,
Transit,4.75615000,1.640
Transit,17.17840000,2.390
Radial Velocity,499.39999000,
Radial Velocity,3341.55884000,
Radial Velocity,163.94000000,
Radial Velocity,408.60001000,
Radial Velocity,3452.00000000,
Radial Velocity,818.80000000,
Radial Velocity,194.30000000,
Radial Velocity,391.90000000,
Radial Velocity,131.05000000,
Radial Velocity,4191.00000000,
Radial Velocity,842.20000000,
Radial Velocity,4.64550000,
Radial Velocity,359.51001000,
Radial Velocity,521.00000000,
Radial Velocity,2.17800000,
Radial Velocity,3.43200000,
Radial Velocity,5.19808140,
Radial Velocity,7.95100000,
Radial Velocity,12.02800000,
Radial Velocity,820.20000000,
Radial Velocity,12.62000000,
Radial Velocity,248.40000000,
Radial Velocity,1184.10000000,
Radial Velocity,351.00000000,
Radial Velocity,577.20000000,
Radial Velocity,2149.00000000,
Radial Velocity,643.25000000,
Radial Velocity,4205.80000000,
Radial Velocity,9.63860000,
Radial Velocity,310.55000000,
Radial Velocity,75.52300000,
Radial Velocity,990.00000000,
Radial Velocity,8.42820000,
Radial Velocity,75.22030000,
Radial Velocity,1272.00000000,
Radial Velocity,17.24000000,
Radial Velocity,280.17000000,
Radial Velocity,40.00000000,
Radial Velocity,641.47200000,
Radial Velocity,1155.00000000,
Radial Velocity,75.76500000,
Radial Velocity,434.50000000,
Radial Velocity,270.00000000,
Radial Velocity,5144.00000000,
Radial Velocity,420.77000000,
Radial Velocity,58.11247000,
Radial Velocity,1749.83000000,
Radial Velocity,6.40400000,
Radial Velocity,533.00000000,
Radial Velocity,225.62000000,
Radial Velocity,2102.00000000,
Radial Velocity,1145.00000000,
Radial Velocity,359.89999000,
Radial Velocity,550.00000000,
Radial Velocity,1532.00000000,
Radial Velocity,21.21663000,12.330
Radial Velocity,323.60000000,
Radial Velocity,1290.00000000,
Radial Velocity,298.43000000,
Radial Velocity,29.01000000,
Radial Velocity,623.80000000,
Radial Velocity,6.48980000,
Radial Velocity,16.81910000,
Radial Velocity,44.50500000,
Radial Velocity,410.10001000,
Radial Velocity,110.90000000,
Radial Velocity,71.48400000,
Radial Velocity,14.47900000,
Radial Velocity,3.09251400,
Radial Velocity,213.72000000,
Radial Velocity,2278.00000000,
Radial Velocity,396.03000000,
Radial Velocity,105.90000000,
Radial Velocity,510.90000000,
Radial Velocity,7462.05750000,
Radial Velocity,564.10000000,
Radial Velocity,9.37430000,
Radial Velocity,962.00000000,
Radial Velocity,2172.00000000,
Radial Velocity,956.00000000,
Radial Velocity,626.51599000,
Radial Velocity,3070.00000000,
Radial Velocity,6.83776000,
Radial Velocity,1019.74000000,
Radial Velocity,3.09658280,
Radial Velocity,3810.00000000,
Radial Velocity,766.00000000,
Radial Velocity,461.20000000,
Radial Velocity,2.21857567,12.666
Radial Velocity,2915.03687000,
Radial Velocity,17.11100000,
Radial Velocity,1176.45000000,
Radial Velocity,4885.00000000,
Radial Velocity,1606.30000000,
Radial Velocity,24.35560000,
Radial Velocity,74.72000000,
Radial Velocity,525.80000000,
Radial Velocity,340.94000000,
Radial Velocity,18.20132000,
Radial Velocity,1378.00000000,
Radial Velocity,3638.00000000,
Radial Velocity,1333.00000000,
Radial Velocity,1035.70000000,
Radial Velocity,466.20000000,
Radial Velocity,11.84820000,
Radial Velocity,33.92390000,
Radial Velocity,606.30000000,
Radial Velocity,852.50000000,
Radial Velocity,1260.00000000,
Radial Velocity,517.80000000,
Radial Velocity,946.60000000,
Transit,3.30895800,17.318
Imaging,,
Radial Velocity,1552.90000000,
Radial Velocity,1120.00000000,
Radial Velocity,1920.09998000,
Radial Velocity,34.90500000,
Radial Velocity,1733.00000000,
Radial Velocity,279.80000000,
Radial Velocity,96.04500000,
Radial Velocity,673.20000000,
Radial Velocity,5.31350000,
Radial Velocity,13.89050000,
Radial Velocity,29.15800000,
Radial Velocity,85.50730000,
Radial Velocity,597.06430000,
Radial Velocity,160.07000000,
Radial Velocity,1155.70000000,
Radial Velocity,18.31500000,
Radial Velocity,40.11400000,
Radial Velocity,90.30900000,
Radial Velocity,147.02000000,
Radial Velocity,130.08000000,
Radial Velocity,875.50000000,
Radial Velocity,380.85001000,
Radial Velocity,352.70000000,
Radial Velocity,3.52474859,15.581
Radial Velocity,649.91800000,
Radial Velocity,442.19000000,
Radial Velocity,354.10000000,
Radial Velocity,1558.00000000,
Radial Velocity,25.20100000,
Radial Velocity,2.24571000,
Radial Velocity,380.70000000,
Radial Velocity,882.70001000,
Transit,1.00803500,1.745
Radial Velocity,4.78503000,
Radial Velocity,84.28800000,
Radial Velocity,1854.40000000,
Radial Velocity,5.75999000,
Radial Velocity,7.28243000,
Radial Velocity,10.86499000,
Radial Velocity,25.19670000,
Radial Velocity,3.93404000,
Radial Velocity,567.94000000,
Radial Velocity,1311.00000000,
Radial Velocity,1334.28000000,
Radial Velocity,148.60001000,
Radial Velocity,118.45000000,
Radial Velocity,22.67860000,
Radial Velocity,53.73570000,
Radial Velocity,7.12682000,
Radial Velocity,4270.00000000,
Transit,7.78993000,0.892
Radial Velocity,1319.00000000,
Radial Velocity,3501.30000000,
Radial Velocity,225.70000000,
Radial Velocity,5501.00000000,
Radial Velocity,3.09292600,1.602
Radial Velocity,6.76458000,1.511
Radial Velocity,46.85900000,1.610
Radial Velocity,22.71700000,1.310
Radial Velocity,94.20000000,
Radial Velocity,2247.00000000,
Radial Velocity,2093.30000000,
Transit,6.03607000,4.710
Radial Velocity,3.83492000,
Radial Velocity,4682.00000000,
Radial Velocity,672.09998000,
Radial Velocity,1728.00000000,
Radial Velocity,2266.40000000,
Radial Velocity,3724.70000000,
Radial Velocity,218.47000000,
Radial Velocity,456.10000000,
Transit,14.27670000,9.170
Radial Velocity,22482.00000000,
Radial Velocity,1173.00000000,
Radial Velocity,871.00000000,
Radial Velocity,3999.00000000,
Radial Velocity,572.38000000,
Radial Velocity,1189.10000000,
Radial Velocity,26.69040000,
Radial Velocity,528.07000000,
Radial Velocity,730.59998000,
Radial Velocity,1211.17000000,
Radial Velocity,141.63000000,
Radial Velocity,192.00000000,
Radial Velocity,2058.00000000,
Transit,17.66700000,
Transit,29.62500000,
Radial Velocity,1561.00000000,
Radial Velocity,4100.00000000,
Radial Velocity,501.75000000,
Radial Velocity,745.70001000,
Radial Velocity,3668.00000000,
Radial Velocity,535.59998000,
Radial Velocity,2.04550000,
Radial Velocity,6019.32000000,
Radial Velocity,1802.29000000,
Radial Velocity,3.44420000,
Transit,4.12688000,16.141
Radial Velocity,42.37800000,
Radial Velocity,428.10000000,
Radial Velocity,2198.14000000,
Radial Velocity,18.02000000,
Radial Velocity,36.07000000,
Radial Velocity,5174.00000000,
Radial Velocity,379.00000000,
Radial Velocity,1116.00000000,
Radial Velocity,6.08810000,
Radial Velocity,8.78360000,
Radial Velocity,380.20000000,
Radial Velocity,1362.30000000,
Radial Velocity,2443.00000000,
Radial Velocity,311.60001000,
Radial Velocity,2527.83000000,
Radial Velocity,11613.00000000,
Radial Velocity,1157.00000000,
Radial Velocity,1684.00000000,
Radial Velocity,847.00000000,
Radial Velocity,466.00000000,
Radial Velocity,16.55350000,
Radial Velocity,51.20530000,
Radial Velocity,271.67370000,
Transit,0.95962400,1.700
Transit,29.83832000,2.860
Radial Velocity,8.50900000,
Radial Velocity,157.54000000,
Radial Velocity,2372.00000000,
Radial Velocity,3.38773000,
Radial Velocity,326.00000000,
Radial Velocity,834.00000000,
Radial Velocity,18.19910000,
Radial Velocity,388.00000000,
Radial Velocity,551.40002000,
Radial Velocity,916.00000000,
Radial Velocity,1049.00000000,
Radial Velocity,214.67000000,
Radial Velocity,117.87000000,
Radial Velocity,49.17500000,
Radial Velocity,676.80000000,
Radial Velocity,5700.00000000,
Radial Velocity,82.46700000,
Radial Velocity,62.25000000,
Radial Velocity,154.37800000,
Radial Velocity,885.50000000,
Radial Velocity,1862.00000000,
Radial Velocity,55.01292000,
Radial Velocity,2720.00000000,
Radial Velocity,363.20001000,
Radial Velocity,14.30944000,
Radial Velocity,2136.10000000,
Radial Velocity,685.25000000,
Radial Velocity,2093.07000000,
Radial Velocity,3.24980000,
Radial Velocity,4.31230000,
Radial Velocity,9.61840000,
Radial Velocity,20.43200000,
Radial Velocity,51.76000000,
Radial Velocity,197.80000000,
Radial Velocity,578.60000000,
Radial Velocity,264.14999000,
Radial Velocity,963.00000000,
Radial Velocity,1.32830000,
Radial Velocity,526.62000000,
Radial Velocity,857.50000000,
Radial Velocity,431.88000000,
Radial Velocity,6700.00000000,
Radial Velocity,832.97000000,
Radial Velocity,149.61000000,
Radial Velocity,15.56000000,
Radial Velocity,356.21000000,
Radial Velocity,327.80000000,
Radial Velocity,36.99870000,
Radial Velocity,472.30000000,
Radial Velocity,5.88540000,
Radial Velocity,13.13540000,
Radial Velocity,963.60000000,
Radial Velocity,226.93000000,
Radial Velocity,342.85000000,
Radial Velocity,44.07300000,
Radial Velocity,3.02357300,
Radial Velocity,4.08450000,
Radial Velocity,1353.60000000,
Radial Velocity,360.20000000,
Radial Velocity,2732.00000000,
Radial Velocity,359.15000000,
Radial Velocity,682.85000000,
Radial Velocity,712.13000000,
Radial Velocity,778.51000000,
Radial Velocity,400.50000000,
Radial Velocity,4.94737000,
Radial Velocity,2447.10000000,
Radial Velocity,8619.90000000,
Radial Velocity,1293.00000000,
Radial Velocity,14.07260000,
Radial Velocity,95.94460000,
Radial Velocity,119.27000000,
Radial Velocity,637.10000000,
Radial Velocity,872.20000000,
Radial Velocity,1827.00000000,
Radial Velocity,139.35000000,
Radial Velocity,779.90000000,
Radial Velocity,492.30000000,
Radial Velocity,177.11000000,
Radial Velocity,299.36000000,
Radial Velocity,201.90000000,
Radial Velocity,600.10000000,
Radial Velocity,589.64000000,
Radial Velocity,2.81805000,
Radial Velocity,358.00000000,
Radial Velocity,45.79100000,
Radial Velocity,21.99800000,
Radial Velocity,577.60000000,
Radial Velocity,5370.00000000,
Radial Velocity,480.50000000,
Radial Velocity,2263.12000000,
Radial Velocity,352.20000000,
Radial Velocity,2374.00000000,
Radial Velocity,2496.00000000,
Radial Velocity,1103.00000000,
Radial Velocity,6.27711000,
Radial Velocity,8.66700000,
Radial Velocity,31.56000000,
Radial Velocity,197.00000000,
Radial Velocity,851.80000000,
Radial Velocity,2124.54000000,
Radial Velocity,615.00000000,
Radial Velocity,858.00000000,
Radial Velocity,3658.00000000,
Radial Velocity,39.47500000,
Radial Velocity,1245.36000000,
Radial Velocity,188.30000000,
Radial Velocity,379.10000000,
Radial Velocity,1750.00000000,
Radial Velocity,51.64500000,
Radial Velocity,2473.00000000,
Radial Velocity,1255.50000000,
Radial Velocity,3.50927000,
Radial Velocity,341.20000000,
Radial Velocity,7900.00000000,
Radial Velocity,422.90000000,
Radial Velocity,3.97097000,
Radial Velocity,415.40000000,
Radial Velocity,5.73610000,
Radial Velocity,5.39792000,
Radial Velocity,15.29900000,
Radial Velocity,24.45100000,
Radial Velocity,1807.00000000,
Radial Velocity,111.43670000,11.994
Transit,0.71957300,1.613
Radial Velocity,1001.70001000,
Radial Velocity,184.02000000,
Radial Velocity,705.00000000,
Radial Velocity,441.47000000,
Radial Velocity,220.07800000,
Radial Velocity,158.99100000,
Radial Velocity,2.98570000,
Radial Velocity,1313.00000000,
Radial Velocity,799.52000000,
Radial Velocity,58.43000000,
Radial Velocity,227.00000000,
Radial Velocity,2.13784310,
Radial Velocity,1695.00000000,
Radial Velocity,1475.00000000,
Radial Velocity,1634.00000000,
Radial Velocity,1270.00000000,
Radial Velocity,13.48100000,
Radial Velocity,2754.00000000,
Radial Velocity,3.41488400,
Radial Velocity,2166.00000000,
Transit,11.81430000,7.398
Radial Velocity,256.78000000,
Radial Velocity,49.77000000,
Radial Velocity,1179.00000000,
Radial Velocity,325.80300000,
Radial Velocity,11611.29750000,
Radial Velocity,10354.83750000,
Radial Velocity,143.58000000,
Radial Velocity,30.05200000,
Radial Velocity,192.90000000,
Radial Velocity,1576.00000000,
Imaging,,
Radial Velocity,464.40000000,
Radial Velocity,1785.00000000,
Radial Velocity,482.00000000,
Radial Velocity,4375.00000000,
Radial Velocity,362.50000000,
Radial Velocity,647.29999000,
Radial Velocity,498.04000000,
Disk Kinematics,,
Radial Velocity,9.49090000,2.354
Radial Velocity,433.80000000,
Radial Velocity,6022.97250000,
