# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Sun Apr 26 16:51:28 2020
#
# User preference: *
#
# COLUMN pl_hostname:    Host Name
# COLUMN pl_name:        Planet Name
# COLUMN pl_dens:        Planet Density [g/cm**3]
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN pl_masse:       Planet Mass [Earth mass]
# COLUMN pl_rade:        Planet Radius [Earth radii]
#
pl_hostname,pl_name,pl_dens,pl_eqt,pl_masse,pl_rade
EPIC 246851721,EPIC 246851721 b,3.10000,1401,953.49000,11.781
EPIC 248847494,EPIC 248847494 b,,183,4131.79000,12.442
EPIC 249893012,EPIC 249893012 b,6.39000,1616,8.75000,1.950
EPIC 249893012,EPIC 249893012 c,1.62000,990,14.67000,3.670
EPIC 249893012,EPIC 249893012 d,0.91000,752,10.18000,3.940
FU Tau,FU Tau b,,2375,5085.28000,
Fomalhaut,Fomalhaut b,,,,
G 9-40,G 9-40 b,,456,,2.025
GJ 1061,GJ 1061 b,,,,
GJ 1061,GJ 1061 c,,,,
GJ 1061,GJ 1061 d,,,,
GJ 1132,GJ 1132 b,6.30000,529,1.66000,
GJ 1132,GJ 1132 c,,300,,
GJ 1148,GJ 1148 b,,,,
GJ 1148,GJ 1148 c,,,,
GJ 1214,GJ 1214 b,1.49000,,6.26125,2.847
GJ 1252,GJ 1252 b,,1089,2.09000,1.193
GJ 1265,GJ 1265 b,,,,
GJ 143,GJ 143 b,7.00000,422,22.70000,2.610
GJ 15 A,GJ 15 A b,,,,
GJ 15 A,GJ 15 A c,,,,
GJ 160.2,GJ 160.2 b,,,,
GJ 163,GJ 163 b,,,,
GJ 163,GJ 163 c,,,,
GJ 163,GJ 163 d,,,,
GJ 179,GJ 179 b,,,,
GJ 180,GJ 180 b,,,,
GJ 180,GJ 180 c,,,,
GJ 180,GJ 180 d,,,,
GJ 229,GJ 229 A c,,,,
GJ 229,GJ 229 b,,,,
GJ 27.1,GJ 27.1 b,,,,
GJ 273,GJ 273 b,,,,
GJ 273,GJ 273 c,,,,
GJ 3021,GJ 3021 b,,350,,
GJ 3082,GJ 3082 b,,,,
GJ 3138,GJ 3138 b,,,,
GJ 3138,GJ 3138 c,,,,
GJ 3138,GJ 3138 d,,,,
GJ 317,GJ 317 b,,,794.50000,
GJ 317,GJ 317 c,,,,
GJ 328,GJ 328 b,,,,
GJ 3293,GJ 3293 b,,,,
GJ 3293,GJ 3293 c,,,,
GJ 3293,GJ 3293 d,,,,
GJ 3293,GJ 3293 e,,,,
GJ 3323,GJ 3323 b,,,,
GJ 3323,GJ 3323 c,,,,
GJ 3341,GJ 3341 b,,,,
GJ 3470,GJ 3470 b,0.80000,594,13.90000,4.570
GJ 3512,GJ 3512 b,,,,
GJ 357,GJ 357 b,5.60000,525,1.84000,1.217
GJ 357,GJ 357 c,,401,,
GJ 357,GJ 357 d,,220,,
GJ 3634,GJ 3634 b,,,8.40000,
GJ 3779,GJ 3779 b,,,,
GJ 3942,GJ 3942 b,,590,,
GJ 3998,GJ 3998 b,,,,
GJ 3998,GJ 3998 c,,,,
GJ 411,GJ 411 b,,350,,
GJ 422,GJ 422 b,,,,
GJ 4276,GJ 4276 b,,,,
GJ 433,GJ 433 b,,,,
GJ 433,GJ 433 c,,,,
GJ 433,GJ 433 d,,,,
GJ 436,GJ 436 b,1.80000,,22.10000,4.170
GJ 504,GJ 504 b,,510,1271.30000,
GJ 536,GJ 536 b,,,,
GJ 581,GJ 581 b,,,,
GJ 581,GJ 581 c,,,,
GJ 581,GJ 581 e,,,,
GJ 625,GJ 625 b,,,,
GJ 649,GJ 649 b,,,,
GJ 667 C,GJ 667 C b,,,,
GJ 667 C,GJ 667 C c,,,,
GJ 667 C,GJ 667 C e,,,,
GJ 667 C,GJ 667 C f,,,,
GJ 667 C,GJ 667 C g,,,,
GJ 674,GJ 674 b,,,,
GJ 676 A,GJ 676 A b,,,,
GJ 676 A,GJ 676 A c,,,,
GJ 676 A,GJ 676 A d,,,,
GJ 676 A,GJ 676 A e,,,,
GJ 682,GJ 682 b,,,,
GJ 682,GJ 682 c,,,,
GJ 685,GJ 685 b,,,,
GJ 687,GJ 687 b,,,,
GJ 832,GJ 832 b,,,,
GJ 832,GJ 832 c,,,,
GJ 849,GJ 849 b,,,,
GJ 86,GJ 86 b,,,,
GJ 876,GJ 876 b,,,723.22350,
GJ 876,GJ 876 c,,,226.98460,
GJ 876,GJ 876 d,,,6.83000,
GJ 876,GJ 876 e,,,14.60000,
GJ 96,GJ 96 b,,,,
GJ 9827,GJ 9827 b,6.93000,,4.91000,1.577
GJ 9827,GJ 9827 c,2.42000,,0.84000,1.241
GJ 9827,GJ 9827 d,2.69000,,4.04000,2.022
GQ Lup,GQ Lup b,,2650,6356.00000,33.600
GSC 06214-00210,GSC 06214-00210 b,,2300,5000.00000,
GU Psc,GU Psc b,,1050,3591.30000,14.179
Gl 378,Gl 378 b,,830,,
Gl 49,Gl 49 b,,,,
Gl 686,Gl 686 b,,,,
HAT-P-1,HAT-P-1 b,0.28200,1322,166.86075,14.785
HAT-P-11,HAT-P-11 b,,,,4.360
HAT-P-11,HAT-P-11 c,,,,
HAT-P-12,HAT-P-12 b,0.31920,963,67.05900,10.749
HAT-P-13,HAT-P-13 b,,,270.46200,14.258
HAT-P-13,HAT-P-13 c,,,,
HAT-P-14,HAT-P-14 b,,,1093.33520,15.917
HAT-P-15,HAT-P-15 b,,,616.59020,11.882
HAT-P-16,HAT-P-16 b,2.42000,1626,1332.60500,14.448
HAT-P-17,HAT-P-17 b,,,184.34140,11.769
HAT-P-17,HAT-P-17 c,,,,
HAT-P-18,HAT-P-18 b,0.25000,852,62.61000,11.153
HAT-P-19,HAT-P-19 b,0.25000,1010,92.80200,12.689
HAT-P-2,HAT-P-2 b,,,,
HAT-P-20,HAT-P-20 b,13.78000,970,2302.89900,9.718
HAT-P-21,HAT-P-21 b,,,1547.83210,12.442
HAT-P-22,HAT-P-22 b,,,785.04010,12.890
HAT-P-23,HAT-P-23 b,,,425.89220,12.218
HAT-P-24,HAT-P-24 b,,,238.37250,14.572
HAT-P-25,HAT-P-25 b,0.48300,1182,180.84527,12.722
HAT-P-26,HAT-P-26 b,,,22.24810,7.062
HAT-P-27,HAT-P-27 b,,,197.05000,11.430
HAT-P-28,HAT-P-28 b,0.44000,1384,198.95300,13.585
HAT-P-29,HAT-P-29 b,,,279.69040,13.115
HAT-P-3,HAT-P-3 b,,,206.58950,10.536
HAT-P-30,HAT-P-30 b,,,263.79890,16.141
HAT-P-31,HAT-P-31 b,,,721.47410,12.218
HAT-P-32,HAT-P-32 b,0.10800,1836,216.12440,22.194
HAT-P-33,HAT-P-33 b,,,292.40360,20.737
HAT-P-34,HAT-P-34 b,2.50000,,1058.37390,13.417
HAT-P-35,HAT-P-35 b,0.55000,,335.62848,14.930
HAT-P-36,HAT-P-36 b,1.17500,1781,587.41341,14.314
HAT-P-37,HAT-P-37 b,0.89000,1271,371.52800,13.204
HAT-P-38,HAT-P-38 b,0.59000,1082,84.85700,9.247
HAT-P-39,HAT-P-39 b,0.19000,1752,190.37200,17.609
HAT-P-4,HAT-P-4 b,0.40300,1686,213.25500,14.280
HAT-P-40,HAT-P-40 b,,,152.55840,17.038
HAT-P-41,HAT-P-41 b,,,378.21770,22.978
HAT-P-42,HAT-P-42 b,0.61000,1428,331.80100,14.348
HAT-P-43,HAT-P-43 b,0.39000,1361,210.39500,14.359
HAT-P-44,HAT-P-44 b,0.23000,1108,111.87100,13.922
HAT-P-44,HAT-P-44 c,,,,
HAT-P-45,HAT-P-45 b,0.38000,1652,283.49200,15.984
HAT-P-46,HAT-P-46 b,0.28000,1458,156.68400,14.392
HAT-P-49,HAT-P-49 b,,,699.22600,17.822
HAT-P-5,HAT-P-5 b,,,311.47340,13.563
HAT-P-50,HAT-P-50 b,0.78000,1862,429.07050,14.437
HAT-P-51,HAT-P-51 b,0.17800,1192,98.20947,14.493
HAT-P-52,HAT-P-52 b,0.98000,1218,259.98494,11.310
HAT-P-53,HAT-P-53 b,0.80000,1778,471.65972,14.773
HAT-P-54,HAT-P-54 b,1.11800,818,241.55080,10.581
HAT-P-55,HAT-P-55 b,0.43500,1313,184.97706,13.249
HAT-P-56,HAT-P-56 b,,,734.18730,16.926
HAT-P-57,HAT-P-57 b,,,448.14030,19.504
HAT-P-6,HAT-P-6 b,,,419.53560,16.589
HAT-P-65,HAT-P-65 b,0.09600,1930,167.49641,21.185
HAT-P-66,HAT-P-66 b,0.24200,1896,248.86089,17.822
HAT-P-67,HAT-P-67 b,0.05200,1903,108.06220,23.371
HAT-P-69,HAT-P-69 b,1.02000,1930,1137.83140,18.786
HAT-P-7,HAT-P-7 b,,,584.80720,16.926
HAT-P-70,HAT-P-70 b,1.54000,2562,2154.88740,20.961
HAT-P-8,HAT-P-8 b,,,406.82240,15.693
HAT-P-9,HAT-P-9 b,0.34200,1540,238.05467,15.614
HATS-1,HATS-1 b,1.03000,1359,589.55000,14.594
HATS-10,HATS-10 b,0.70000,1407,167.17858,10.862
HATS-11,HATS-11 b,,1596,,18.030
HATS-12,HATS-12 b,,1446,,7.760
HATS-13,HATS-13 b,0.37700,1244,172.58169,13.585
HATS-14,HATS-14 b,1.19100,1276,340.39593,11.646
HATS-15,HATS-15 b,1.97000,1505,689.69110,12.386
HATS-16,HATS-16 b,1.86000,1592,1039.30410,14.572
HATS-17,HATS-17 b,3.50000,814,425.25654,8.709
HATS-18,HATS-18 b,1.11690,2069,629.14449,14.897
HATS-2,HATS-2 b,1.05000,1577,427.46300,13.092
HATS-22,HATS-22 b,3.89000,858,870.85420,10.682
HATS-23,HATS-23 b,0.29000,1654,467.21010,20.849
HATS-24,HATS-24 b,1.03000,2166,718.29580,15.637
HATS-25,HATS-25 b,0.38000,1277,194.82979,14.123
HATS-26,HATS-26 b,0.15300,1918,206.58950,19.616
HATS-27,HATS-27 b,0.18000,1659,168.44990,16.814
HATS-28,HATS-28 b,0.48000,1253,213.58176,13.384
HATS-29,HATS-29 b,0.41100,1212,207.54299,14.022
HATS-3,HATS-3 b,0.51000,1648,340.38200,15.480
HATS-30,HATS-30 b,0.54300,1414,224.38798,13.171
HATS-31,HATS-31 b,0.24300,1823,279.69040,18.383
HATS-32,HATS-32 b,0.58000,1437,292.40360,14.000
HATS-33,HATS-33 b,0.79000,1429,378.85336,13.787
HATS-34,HATS-34 b,0.40000,1445,299.07803,16.029
HATS-35,HATS-35 b,0.48400,2037,388.38826,16.410
HATS-36,HATS-36 b,,1203,,12.920
HATS-39,HATS-39 b,0.20200,1645,200.23290,17.598
HATS-4,HATS-4 b,1.55000,1315,420.47100,11.433
HATS-40,HATS-40 b,0.49000,2101,505.34970,17.710
HATS-41,HATS-41 b,5.10000,1710,3082.95100,14.908
HATS-42,HATS-42 b,0.83000,1856,597.52040,15.693
HATS-43,HATS-43 b,0.19100,1003,82.95363,13.227
HATS-44,HATS-44 b,0.56000,1161,177.98480,11.960
HATS-45,HATS-45 b,0.41000,1518,222.48100,14.415
HATS-46,HATS-46 b,0.28000,1054,54.98459,10.122
HATS-47,HATS-47 b,0.33100,853,117.27927,12.520
HATS-48 A,HATS-48 A b,0.58900,955,77.23269,8.967
HATS-49,HATS-49 b,0.98600,835,112.19399,8.575
HATS-5,HATS-5 b,0.39000,1025,75.32300,10.223
HATS-50,HATS-50 b,0.33000,,123.95370,12.666
HATS-51,HATS-51 b,0.34000,1553,244.09344,15.805
HATS-52,HATS-52 b,1.06000,1834,711.93920,15.491
HATS-53,HATS-53 b,0.30300,1312,189.10885,15.020
HATS-54,HATS-54 b,0.77000,1625,241.55080,11.960
HATS-55,HATS-55 b,0.58700,1367,292.72143,14.022
HATS-56,HATS-56 b,0.15500,1902,191.33366,18.921
HATS-57,HATS-57 b,2.65000,1413,1000.21101,12.767
HATS-58 A,HATS-58 A b,0.96000,1721,327.36490,12.274
HATS-59,HATS-59 b,0.70000,1128,256.17098,12.621
HATS-59,HATS-59 c,,176,,
HATS-6,HATS-6 b,0.39900,713,101.38777,11.187
HATS-60,HATS-60 b,0.53700,1528,210.40346,12.924
HATS-61,HATS-61 b,2.47000,1226,1080.62200,13.395
HATS-62,HATS-62 b,0.07600,1237,56.89157,11.825
HATS-63,HATS-63 b,0.67000,1398,305.11680,13.529
HATS-64,HATS-64 b,0.24500,1793,305.11680,18.820
HATS-65,HATS-65 b,0.30000,1634,260.93843,16.825
HATS-66,HATS-66 b,2.34000,1998,1694.03390,15.816
HATS-67,HATS-67 b,0.37400,2193,460.85350,18.887
HATS-68,HATS-68 b,0.85600,1741,410.00070,13.809
HATS-69,HATS-69 b,0.46000,1296,183.38791,10.593
HATS-7,HATS-7 b,0.83000,1084,38.13960,6.311
HATS-70,HATS-70 b,6.64000,2730,4100.00700,15.513
HATS-72,HATS-72 b,0.41100,739,39.85588,8.097
HATS-8,HATS-8 b,0.25900,1324,43.86054,9.785
HATS-9,HATS-9 b,,1746,,13.850
HD 100546,HD 100546 b,,,,77.342
HD 100655,HD 100655 b,,,,
HD 100777,HD 100777 b,,,,
HD 10180,HD 10180 c,,,,
HD 10180,HD 10180 d,,,,
HD 10180,HD 10180 e,,,,
HD 10180,HD 10180 f,,,,
HD 10180,HD 10180 g,,,,
HD 10180,HD 10180 h,,,,
HD 101930,HD 101930 b,,,,
HD 102117,HD 102117 b,,,,
HD 102195,HD 102195 b,,,,
HD 102272,HD 102272 b,,,,
HD 102329,HD 102329 b,,,,
HD 102329,HD 102329 c,,,,
HD 102365,HD 102365 b,,,,
HD 102843,HD 102843 b,,,,
HD 102956,HD 102956 b,,,,
HD 103197,HD 103197 b,,,,
HD 103720,HD 103720 b,,,,
HD 103774,HD 103774 b,,,,
HD 103949,HD 103949 b,,,,
HD 104067,HD 104067 b,,,,
HD 10442,HD 10442 b,,,,
HD 104985,HD 104985 b,,,,
HD 106252,HD 106252 b,,,,
HD 106270,HD 106270 b,,,,
HD 106315,HD 106315 b,4.70000,1153,12.60000,2.440
HD 106315,HD 106315 c,1.01000,886,15.20000,4.350
HD 10647,HD 10647 b,,,,
HD 106515 A,HD 106515 A b,,,,
HD 106906,HD 106906 b,,1800,3496.00000,
HD 10697,HD 10697 b,,,,
HD 107148,HD 107148 b,,,,
HD 108147,HD 108147 b,,,,
HD 108341,HD 108341 b,,,,
HD 108863,HD 108863 b,,,,
HD 108874,HD 108874 b,,,,
HD 108874,HD 108874 c,,,,
HD 109246,HD 109246 b,,,,
HD 109271,HD 109271 b,,,,
HD 109271,HD 109271 c,,,,
HD 109749,HD 109749 b,,,,
HD 110014,HD 110014 b,,,,
HD 111232,HD 111232 b,,,,
HD 111591,HD 111591 b,,,,
HD 111998,HD 111998 b,,,,
HD 113337,HD 113337 b,,,,
HD 113538,HD 113538 b,,,,
HD 113538,HD 113538 c,,,,
HD 113996,HD 113996 b,,,,
HD 114386,HD 114386 b,,,,
HD 114613,HD 114613 b,,,,
HD 114729,HD 114729 b,,,,
HD 114762,HD 114762 b,,,,
HD 114783,HD 114783 b,,,,
HD 114783,HD 114783 c,,,,
HD 11506,HD 11506 b,,,,
HD 11506,HD 11506 c,,,,
HD 116029,HD 116029 b,,,,
HD 116029,HD 116029 c,,,,
HD 117207,HD 117207 b,,,,
HD 11755,HD 11755 b,,,,
HD 117618,HD 117618 b,,,,
HD 118203,HD 118203 b,,,,
HD 119130,HD 119130 b,7.40000,795,24.50000,2.630
HD 11964,HD 11964 b,,,,
HD 11964,HD 11964 c,,,,
HD 11977,HD 11977 b,,,,
HD 120084,HD 120084 b,,,,
HD 121504,HD 121504 b,,,,
HD 12484,HD 12484 b,,,,
HD 125390,HD 125390 b,,,,
HD 125595,HD 125595 b,,,,
HD 125612,HD 125612 b,,,,
HD 125612,HD 125612 c,,,,
HD 125612,HD 125612 d,,,,
HD 12648,HD 12648 b,,,,
HD 126525,HD 126525 b,,,,
HD 12661,HD 12661 b,,,,
HD 12661,HD 12661 c,,,,
HD 126614,HD 126614 b,,,,
HD 128311,HD 128311 b,,,,
HD 128311,HD 128311 c,,,1204.25787,
HD 128356,HD 128356 b,,,,
HD 129445,HD 129445 b,,,,
HD 130322,HD 130322 b,,,,
HD 131496,HD 131496 b,,,,
HD 131664,HD 131664 b,,,,
HD 13167,HD 13167 b,,,,
HD 13189,HD 13189 b,,,,
HD 132406,HD 132406 b,,,,
HD 132563,HD 132563 b,,,,
HD 133131 A,HD 133131 A b,,,,
HD 133131 A,HD 133131 A c,,,,
HD 133131 B,HD 133131 B b,,,,
HD 134060,HD 134060 b,,,,
HD 134060,HD 134060 c,,,,
HD 134987,HD 134987 b,,,,
HD 134987,HD 134987 c,,,,
HD 136352,HD 136352 b,,,,
HD 136352,HD 136352 c,,,,
HD 136352,HD 136352 d,,,,
HD 136418,HD 136418 b,,,,
HD 13724,HD 13724 b,,,,
HD 137388,HD 137388 b,,,,
HD 13908,HD 13908 b,,,,
HD 13908,HD 13908 c,,,,
HD 13931,HD 13931 b,,,,
HD 139357,HD 139357 b,,,,
HD 1397,HD 1397 b,0.47700,1228,131.89945,11.500
HD 14067,HD 14067 b,,,,
HD 141399,HD 141399 b,,,,
HD 141399,HD 141399 c,,,,
HD 141399,HD 141399 d,,,,
HD 141399,HD 141399 e,,,,
HD 141937,HD 141937 b,,,,
HD 142,HD 142 b,,,,
HD 142,HD 142 c,,,,
HD 142022 A,HD 142022 A b,,,,
HD 142245,HD 142245 b,,,,
HD 142415,HD 142415 b,,,,
HD 143105,HD 143105 b,,,,
HD 143361,HD 143361 b,,,,
HD 145377,HD 145377 b,,,,
HD 145457,HD 145457 b,,,,
HD 145934,HD 145934 b,,,,
HD 1461,HD 1461 b,,,,
HD 1461,HD 1461 c,,,,
HD 147018,HD 147018 b,,,,
HD 147018,HD 147018 c,,,,
HD 147379,HD 147379 b,,,,
HD 147513,HD 147513 b,,,,
HD 14787,HD 14787 b,,,,
HD 147873,HD 147873 b,,,,
HD 147873,HD 147873 c,,,,
HD 148156,HD 148156 b,,,,
HD 148164,HD 148164 b,,,,
HD 148164,HD 148164 c,,,,
HD 148284,HD 148284 b,,,,
HD 148427,HD 148427 b,,,,
HD 149026,HD 149026 b,,,120.77540,8.295
HD 149143,HD 149143 b,,,,
HD 1502,HD 1502 b,,,,
HD 150706,HD 150706 b,,,,
HD 152079,HD 152079 b,,,,
HD 152581,HD 152581 b,,,,
HD 15337,HD 15337 b,9.30000,1001,7.51000,1.640
HD 15337,HD 15337 c,3.23000,642,8.11000,2.390
HD 153950,HD 153950 b,,,,
HD 154345,HD 154345 b,,,,
HD 154672,HD 154672 b,,,,
HD 154857,HD 154857 b,,,,
HD 154857,HD 154857 c,,,,
HD 155233,HD 155233 b,,,,
HD 155358,HD 155358 b,,,,
HD 155358,HD 155358 c,,,,
HD 156279,HD 156279 b,,,,
HD 156279,HD 156279 c,,,,
HD 156411,HD 156411 b,,,,
HD 156668,HD 156668 b,,,,
HD 156846,HD 156846 b,,,,
HD 158038,HD 158038 b,,,,
HD 158259,HD 158259 b,6.12000,,,
HD 158259,HD 158259 c,,,,
HD 158259,HD 158259 d,,,,
HD 158259,HD 158259 e,,,,
HD 158259,HD 158259 f,,,,
HD 158996,HD 158996 b,,,,
HD 159243,HD 159243 b,,,,
HD 159243,HD 159243 c,,,,
HD 159868,HD 159868 b,,,,
HD 159868,HD 159868 c,,,,
HD 1605,HD 1605 b,,,,
HD 1605,HD 1605 c,,,,
HD 160691,HD 160691 b,,,,
HD 160691,HD 160691 c,,,,
HD 160691,HD 160691 d,,,,
HD 160691,HD 160691 e,,,,
HD 16141,HD 16141 b,,,,
HD 16175,HD 16175 b,,,,
HD 162020,HD 162020 b,,,,
HD 163607,HD 163607 b,,,,
HD 163607,HD 163607 c,,,,
HD 16417,HD 16417 b,,,,
HD 164509,HD 164509 b,,,,
HD 164595,HD 164595 b,,,,
HD 164604,HD 164604 b,,,,
HD 164922,HD 164922 b,,,,
HD 164922,HD 164922 c,,401,,
HD 165155,HD 165155 b,,,,
HD 1666,HD 1666 b,,,,
HD 166724,HD 166724 b,,,,
HD 167042,HD 167042 b,,,,
HD 168443,HD 168443 b,,,,
HD 168443,HD 168443 c,,,,
HD 168746,HD 168746 b,,,,
HD 1690,HD 1690 b,,,,
HD 169830,HD 169830 b,,,,
HD 169830,HD 169830 c,,,,
